section,slot,row,col,radius_px,tissue_fraction,loo_shift_mm,fit_angle_deg,fit_scale,channel,noise_sd,threshold_k,coverage,coverage_k-1,coverage_k+1,mean_residual,angle_flag
section_s4,4,3683.8,1335.5,455.2,1.0,0.169,91.8,0.789,TRITC,246.9,5.0,0.4776196914756315,0.5070816176018683,0.4526458115665909,2813.05224609375,False
section_s4,5,1773.4,2637.0,536.4,1.0,0.763,90.9,0.93,FITC,127.7,5.0,0.31782855701713636,0.3440640057342342,0.2972300020795448,1246.2147216796875,False
section_s4,5,1773.4,2637.0,536.4,1.0,0.763,90.9,0.93,TRITC,246.9,5.0,0.39820738813597567,0.44454584068916997,0.35696935104928523,1642.7496337890625,False
section_s4,6,3601.7,2767.8,471.7,1.0,0.07,89.7,0.818,FITC,127.7,5.0,0.8303041402390255,0.8542267294873097,0.8123178442198761,5588.1982421875,False
section_s4,6,3601.7,2767.8,471.7,1.0,0.07,89.7,0.818,TRITC,246.9,5.0,0.03642471752887665,0.05233781786496614,0.025755414417366198,182.1298828125,False
section_s5,1,5611.8,1042.9,513.5,0.998,0.171,80.6,0.89,FITC,126.6,5.0,0.4508465878075379,0.46540966522593225,0.4360716970124631,3620.0517578125,False
section_s5,1,5611.8,1042.9,513.5,0.998,0.171,80.6,0.89,TRITC,145.2,5.0,0.6027482483033748,0.6279661437498714,0.5835870050677864,2506.27734375,False
section_s5,2,7145.6,2617.7,556.3,0.967,0.373,81.4,0.964,FITC,126.6,5.0,0.2917419132521202,0.31664401292433225,0.27169813728805986,1471.084228515625,False
section_s5,2,7145.6,2617.7,556.3,0.967,0.373,81.4,0.964,TRITC,145.2,5.0,0.0024610685334201196,0.003494844944173947,0.0017187064606771448,-88.94600677490234,False
section_s5,3,5428.4,2718.5,524.6,0.995,0.02,79.6,0.909,FITC,126.6,5.0,0.8385782010355659,0.8732361783107767,0.8095688707123643,4600.87451171875,False
section_s5,3,5428.4,2718.5,524.6,0.995,0.02,79.6,0.909,TRITC,145.2,5.0,9.648851554162607e-05,0.00012438880919221675,7.091324636191796e-05,18.770761489868164,False
section_s5,4,3693.8,585.2,526.8,0.961,0.06,78.8,0.913,FITC,126.6,5.0,0.5313631348224137,0.5780359645722124,0.486671636894999,1396.660400390625,False
section_s5,4,3693.8,585.2,526.8,0.961,0.06,78.8,0.913,TRITC,145.2,5.0,0.8607640234992395,0.8733701130229923,0.8473157784868637,5382.23046875,False
section_s5,5,2109.8,1706.6,517.9,1.0,0.101,78.8,0.898,FITC,126.6,5.0,0.3780513280680639,0.4213604240702099,0.33854875121958167,1129.1343994140625,False
section_s5,5,2109.8,1706.6,517.9,1.0,0.101,78.8,0.898,TRITC,145.2,5.0,0.591316103700644,0.6319427134891075,0.5585802763672965,2601.4755859375,False
section_s5,6,3355.5,2347.5,524.9,0.998,0.0,79.5,0.91,FITC,126.6,5.0,0.00044908706849156515,0.0011342920802106542,0.00024190514771839464,27.277559280395508,False
section_s5,6,3355.5,2347.5,524.9,0.998,0.0,79.5,0.91,TRITC,145.2,5.0,0.006074249833617871,0.009995659596631847,0.004096183338638271,-36.97954177856445,False
section_s6,1,5596.2,2183.6,456.3,1.0,0.25,70.8,0.791,FITC,140.3,5.0,0.232761968837444,0.2472881848346305,0.22361198183458464,1526.1300048828125,False
section_s6,1,5596.2,2183.6,456.3,1.0,0.25,70.8,0.791,TRITC,669.9,5.0,0.5088716952858606,0.5327527943852353,0.4891588556399945,11844.3134765625,False
section_s6,2,7052.0,3995.2,542.7,1.0,0.673,71.7,0.941,FITC,140.3,5.0,0.32177893624332965,0.36428662512616683,0.288246113412913,905.5157470703125,False
section_s6,2,7052.0,3995.2,542.7,1.0,0.673,71.7,0.941,TRITC,669.9,5.0,0.4199059395134012,0.47712462798342703,0.374237325500723,4994.52685546875,False
section_s6,3,5263.9,3529.9,473.3,1.0,0.175,73.2,0.82,FITC,140.3,5.0,0.8020027335835803,0.8236639681290296,0.7821615201225282,5809.2958984375,False
section_s6,3,5263.9,3529.9,473.3,1.0,0.175,73.2,0.82,TRITC,669.9,5.0,0.14845319519548533,0.19162364066731266,0.1214753963269957,1779.2779541015625,False
section_s6,4,3839.2,1490.5,478.3,1.0,0.147,72.8,0.829,FITC,140.3,5.0,0.2273098550196271,0.2869606720387839,0.17731048119457482,494.9471435546875,False
section_s6,4,3839.2,1490.5,478.3,1.0,0.147,72.8,0.829,TRITC,669.9,5.0,0.8629706574419501,0.8844846371455328,0.841605568225935,15288.90625,False
section_s6,5,2396.9,2144.6,480.4,1.0,0.233,67.8,0.833,FITC,140.3,5.0,0.35437273474521575,0.3894279835163926,0.32942528038130753,1722.208740234375,False
section_s6,5,2396.9,2144.6,480.4,1.0,0.233,67.8,0.833,TRITC,669.9,5.0,0.6384101704078424,0.6752983102647417,0.6077282080421027,14036.0634765625,False
section_s6,6,3426.9,3027.1,483.8,1.0,0.006,70.9,0.839,FITC,140.3,5.0,0.0011683339340482974,0.0018823913442640788,0.0006773344576903983,23.44951820373535,False
section_s6,6,3426.9,3027.1,483.8,1.0,0.006,70.9,0.839,TRITC,669.9,5.0,0.015407318748427374,0.02225274912102933,0.011658857372132719,-70.10680389404297,False
